,Source,,Relation,,Target
 ● ,N_Aristotle, ● ,is family of, ● ,N_Callisthenes
 ● ,N_Aristotle, ● ,refers to, ● ,N_Socrates
 ● ,N_Aristotle, ● ,refers to, ● ,N_Zeno
 ● ,N_Aristotle, ● ,refers to, ● ,N_Pythagoras
 ● ,N_Aristotle, ● ,is associated with, ● ,N_Theophrastus
 ● ,N_Aristotle, ● ,refers to, ● ,N_Lamprocles
 ● ,N_Aristotle, ● ,is teacher of, ● ,N_Simmias
 ● ,N_Aristotle, ● ,refers to, ● ,G_Syria
 ● ,N_Aristotle, ● ,refers to, ● ,NF_Xanthippe
 ● ,N_Aristotle, ● ,refers to, ● ,NF_Nicanor's mother
 ● ,N_Aristotle, ● ,traveled to, ● ,G_Athenae
 ● ,N_Aristotle, ● ,refers to, ● ,G_Delphi
 ● ,N_Aristotle, ● ,refers to, ● ,N_Xenophon
 ● ,N_Aristotle, ● ,refers to, ● ,N_Thales
 ● ,N_Aristotle, ● ,is teacher of, ● ,N_Clitarchus
 ● ,N_Aristotle, ● ,refers to, ● ,N_Myrto
 ● ,N_Aristotle, ● ,is adversary of, ● ,N_Anaximenes II
 ● ,N_Aristotle, ● ,is associated with, ● ,N_Timarchus
 ● ,N_Aristotle, ● ,refers to, ● ,N_Empedocles
 ● ,N_Aristotle, ● ,is associated with, ● ,N_Hipparchus
 ● ,N_Aristotle, ● ,is associated with, ● ,N_Nicanor
 ● ,N_Aristotle, ● ,refers to, ● ,G_Delos
 ● ,N_Aristotle, ● ,refers to, ● ,N_Periander
 ● ,N_Aristoxenus, ● ,refers to, ● ,N_Archytas
 ● ,N_Aristoxenus, ● ,refers to, ● ,N_Socrates
 ● ,N_Aristoxenus, ● ,is from, ● ,G_Thurii
 ● ,N_Aristoxenus, ● ,refers to, ● ,N_Archelaus
 ● ,N_Aristoxenus, ● ,refers to, ● ,N_Pythagoras
 ● ,N_Aristoxenus, ● ,refers to, ● ,N_Plato
 ● ,N_Aristoxenus, ● ,is from, ● ,G_Tyrrhenian Sea
 ● ,N_Aristoxenus, ● ,refers to, ● ,N_Xenophilus
 ● ,N_Aristoxenus, ● ,refers to, ● ,N_Myson
 ● ,N_Aristoxenus, ● ,is associated with, ● ,N_Echecrates
 ● ,N_Aristoxenus, ● ,is associated with, ● ,N_Polymnastus
 ● ,N_Aristoxenus, ● ,is family of, ● ,N_Spintharus
 ● ,N_Aristoxenus, ● ,refers to, ● ,N_Pherecydes
 ● ,N_Aristoxenus, ● ,refers to, ● ,N_Lasos
 ● ,N_Aristoxenus, ● ,is associated with, ● ,N_Diocles
 ● ,N_Aristoxenus, ● ,is associated with, ● ,N_Phanton
 ● ,N_Aristoxenus, ● ,refers to, ● ,N_Heraclides
 ● ,N_Artemon, ● ,is associated with, ● ,G_Thurii
 ● ,N_Ascanius, ● ,is from, ● ,G_Abdera
 ● ,N_Ascanius, ● ,refers to, ● ,N_Pyrrho
 ● ,N_Asclepiades, ● ,traveled to, ● ,G_Elis
 ● ,N_Asclepiades, ● ,is friend of, ● ,N_Menedemus
 ● ,N_Asclepiades, ● ,is family of, ● ,NF_Wife of Asclepiades
 ● ,N_Asclepiades, ● ,is from, ● ,G_Phlius
 ● ,N_Asclepiades, ● ,traveled to, ● ,G_Eretria
 ● ,N_Asclepius, ● ,is family of, ● ,N_Aristotle
 ● ,N_Asclepius, ● ,is family of, ● ,N_Nicomachus
 ● ,N_Aston, ● ,is from, ● ,G_Crotone
 ● ,N_Aston, ● ,is associated with, ● ,N_Pythagoras
 ● ,N_Astyanax, ● ,is from, ● ,G_Troas
 ● ,N_Astyanax II, ● ,is family of, ● ,N_Lyco
 ● ,N_Athenaeus, ● ,is teacher of, ● ,N_Theodorus XVII
 ● ,N_Athenians, ● ,is adversary of, ● ,N_Protagoras
 ● ,N_Athenians, ● ,is friend of, ● ,N_Zeno II
 ● ,N_Athenians, ● ,is adversary of, ● ,N_Diogenes
 ● ,N_Athenians, ● ,is from, ● ,G_Athenae
 ● ,N_Athenodorus, ● ,is from, ● ,G_Soli
 ● ,N_Athenodorus, ● ,refers to, ● ,N_Melantes
 ● ,N_Athenodorus, ● ,refers to, ● ,N_Democritus
 ● ,N_Athenodorus, ● ,refers to, ● ,N_Theophrastus
 ● ,N_Athenodorus II, ● ,studied the work of, ● ,N_Zeno II
 ● ,N_Athlius, ● ,is teacher of, ● ,N_Chrysippus VI
 ● ,N_Autolycus, ● ,traveled to, ● ,G_Sardis
 ● ,N_Autolycus, ● ,is teacher of, ● ,N_Arcesilaus
 ● ,N_Bathycles, ● ,is from, ● ,G_Arkadia region
 ● ,N_Bathycles, ● ,is associated with, ● ,N_Thales
 ● ,N_Betion, ● ,is friend of, ● ,N_Bion
 ● ,N_Betion, ● ,is associated with, ● ,N_Menedemus II
 ● ,N_Bias, ● ,is from, ● ,G_Priene
 ● ,N_Bias, ● ,is friend of, ● ,N_Solon
 ● ,N_Bion, ● ,is from, ● ,G_Borysthenes (Olbia)
 ● ,N_Bion, ● ,refers to, ● ,N_Archytas II
 ● ,N_Bion, ● ,refers to, ● ,N_Amphiaraus
 ● ,N_Bion, ● ,is adversary of, ● ,N_Philonides
 ● ,N_Bion, ● ,traveled to, ● ,G_Athenae
 ● ,N_Bion, ● ,refers to, ● ,N_Alcibiades
 ● ,N_Bion, ● ,is adversary of, ● ,N_Persaeus
 ● ,N_Bion, ● ,traveled to, ● ,G_Rhodos (island)
 ● ,N_Bion, ● ,is adversary of, ● ,N_Antigonus III
 ● ,N_Bion, ● ,refers to, ● ,N_Socrates
 ● ,N_Bion, ● ,is associated with, ● ,G_Chalcis
 ● ,N_Bion, ● ,refers to, ● ,N_Aristippus
 ● ,N_Boton, ● ,is teacher of, ● ,N_Xenophanes
 ● ,N_Boton, ● ,is from, ● ,G_Athenae
 ● ,N_Brontinus, ● ,is from, ● ,G_Crotone
 ● ,N_Brontinus, ● ,is teacher of, ● ,N_Empedocles
 ● ,N_Bryson, ● ,is teacher of, ● ,N_Pyrrho
 ● ,N_Caduidas, ● ,is from, ● ,G_Skythai
 ● ,N_Caduidas, ● ,is family of, ● ,N_Anacharsis
 ● ,N_Caeneus, ● ,refers to, ● ,N_Speusippus
 ● ,N_Caeneus, ● ,refers to, ● ,N_Isocrates
 ● ,N_Calimachus, ● ,is associated with, ● ,N_Heraclitus III
 ● ,N_Calliades, ● ,is from, ● ,G_Athenae
 ● ,N_Callias II, ● ,refers to, ● ,N_Socrates
 ● ,N_Callimachus, ● ,refers to, ● ,N_Euphorbus
 ● ,N_Callimachus, ● ,refers to, ● ,N_Philistion
 ● ,N_Callimachus, ● ,refers to, ● ,N_Archytas
 ● ,N_Callimachus, ● ,refers to, ● ,N_Pittacus
 ● ,N_Callimachus, ● ,refers to, ● ,N_Hyrrhadius
 ● ,N_Callimachus, ● ,refers to, ● ,N_Thales
 ● ,N_Callimachus, ● ,refers to, ● ,N_Aeschines
 ● ,N_Callimachus, ● ,refers to, ● ,N_Eudoxus
 ● ,N_Callimachus, ● ,refers to, ● ,N_Pythagoras
 ● ,N_Callimachus, ● ,refers to, ● ,N_Bathycles
 ● ,N_Callippus II, ● ,is from, ● ,G_Corinth
 ● ,N_Callisthenes, ● ,is from, ● ,G_Olynthus
 ● ,N_Callisthenes, ● ,is adversary of, ● ,N_Alexander
 ● ,N_Carcinus, ● ,traveled to, ● ,G_Syracuse
 ● ,N_Carcinus, ● ,is friend of, ● ,N_Aeschines
 ● ,N_Carneades, ● ,is teacher of, ● ,N_Mentor
 ● ,N_Carneades, ● ,is associated with, ● ,N_Hegesinus
 ● ,N_Carneades, ● ,studied the work of, ● ,N_Chrysippus
 ● ,N_Carneades, ● ,is from, ● ,G_Cyrene
 ● ,N_Carneades, ● ,sent letters to, ● ,N_Ariarathes
 ● ,N_Carneades, ● ,is teacher of, ● ,N_Clitomachus
 ● ,N_Carneades, ● ,is associated with, ● ,N_Antipater IV
 ● ,N_Carneades, ● ,is family of, ● ,N_Epicomus
 ● ,N_Carneades, ● ,is family of, ● ,N_Philocomus
 ● ,N_Casander, ● ,is from, ● ,G_Macedonia
 ● ,N_Casander, ● ,is associated with, ● ,N_Speusippus
 ● ,N_Cassius, ● ,is adversary of, ● ,N_Zeno II
 ● ,N_Cebes, ● ,is from, ● ,G_Thebes
 ● ,N_Cephisodorus, ● ,traveled to, ● ,G_Mantinea
 ● ,N_Cephisodorus, ● ,is associated with, ● ,N_Hegesilaus
 ● ,N_Cephisodorus, ● ,is associated with, ● ,N_Gryllus
 ● ,N_Chabrinus, ● ,is family of, ● ,N_Lasos
 ● ,N_Chaldaeans, ● ,is from, ● ,G_Babylon
 ● ,N_Chaldaeans, ● ,is from, ● ,G_Persia
 ● ,N_Chamaeleon, ● ,refers to, ● ,N_Heraclides
 ● ,N_Charmantides, ● ,is family of, ● ,N_Lasos
 ● ,N_Charondas, ● ,is associated with, ● ,N_Aristippus
 ● ,N_Chilon, ● ,traveled to, ● ,G_Pisa
 ● ,N_Chilon, ● ,is from, ● ,G_Lacedaemon/Laconia
 ● ,N_Chilon, ● ,is associated with, ● ,N_Hippocrates II
 ● ,N_Chilon, ● ,is associated with, ● ,N_Aesop
 ● ,N_Chilon, ● ,sent letters to, ● ,N_Periander
 ● ,N_Choerilus, ● ,refers to, ● ,N_Thales
 ● ,N_Chonuphis, ● ,is from, ● ,G_Heliopolis
 ● ,N_Chremonides, ● ,is friend of, ● ,N_Zeno II
 ● ,N_Chremonides, ● ,is associated with, ● ,N_Cleanthes
 ● ,N_Chrysippus, ● ,is family of, ● ,N_Apollonius III
 ● ,N_Chrysippus, ● ,is from, ● ,G_Soli
 ● ,N_Chrysippus, ● ,is teacher of, ● ,N_Aristocreon
 ● ,N_Chrysippus, ● ,is teacher of, ● ,N_Philocrates II
 ● ,N_Chrysippus, ● ,is from, ● ,G_Tarsus
 ● ,N_Chrysippus, ● ,is associated with, ● ,N_Eudoxus
 ● ,N_Chrysippus, ● ,refers to, ● ,N_Zeno II
 ● ,N_Chrysippus, ● ,traveled to, ● ,G_Ancient Egypt (region)
 ● ,N_Chrysippus II, ● ,is from, ● ,G_Cnidus
 ● ,N_Chrysippus VI, ● ,is from, ● ,G_Cnidos
 ● ,N_Chrysippus VI, ● ,is family of, ● ,N_Erineus
 ● ,N_Cleanthes, ● ,traveled to, ● ,G_Athenae
 ● ,N_Cleanthes, ● ,is family of, ● ,N_Phanias II
 ● ,N_Cleanthes, ● ,is teacher of, ● ,N_Chrysippus
 ● ,N_Cleanthes, ● ,is friend of, ● ,N_Ariston IV
 ● ,N_Cleanthes, ● ,refers to, ● ,N_Heraclitus
 ● ,N_Cleanthes, ● ,is from, ● ,G_Assos
 ● ,N_Cleanthes, ● ,is teacher of, ● ,N_Sphaerus
 ● ,N_Clearchus, ● ,refers to, ● ,N_Croesus
 ● ,N_Clearchus, ● ,refers to, ● ,N_Pittacus
 ● ,N_Cleippides, ● ,is from, ● ,G_Cyzicus
 ● ,N_Cleobulus, ● ,sent letters to, ● ,N_Solon
 ● ,N_Cleobulus, ● ,is from, ● ,G_Lindus
 ● ,N_Cleochares, ● ,is friend of, ● ,N_Arcesilaus
 ● ,N_Cleochares, ● ,is from, ● ,G_Myrlea
 ● ,N_Cleon, ● ,is adversary of, ● ,N_Anaxagoras
 ● ,N_Cleon, ● ,is adversary of, ● ,N_Demetrius
 ● ,N_Cleonymus, ● ,is family of, ● ,N_Euthyphro IV
 ● ,N_Cleonymus, ● ,is from, ● ,G_Phlius
 ● ,N_Clinias, ● ,is associated with, ● ,N_Plato
 ● ,N_Clinias, ● ,is associated with, ● ,N_Pythagoreans
 ● ,N_Clinomachus, ● ,is from, ● ,G_Thurii
 ● ,N_Clisthenes, ● ,is family of, ● ,N_Menedemus
 ● ,N_Clitomachus, ● ,refers to, ● ,N_The Cyrenaics
 ● ,N_Clitomachus, ● ,is from, ● ,G_Carthago
 ● ,N_Clitomachus, ● ,traveled to, ● ,G_Athenae
 ● ,N_Codrus, ● ,is family of, ● ,N_Pisistratus
 ● ,N_Conon, ● ,is associated with, ● ,N_Demetrius
 ● ,N_Cotys, ● ,is from, ● ,G_Thrace
 ● ,N_Crantor, ● ,studied the work of, ● ,N_Euripides
 ● ,N_Crantor, ● ,is from, ● ,G_Soli
 ● ,N_Crantor, ● ,studied the work of, ● ,N_Antagoras
 ● ,N_Crantor, ● ,is teacher of, ● ,N_Arcesilaus
 ● ,N_Crantor, ● ,traveled to, ● ,G_Athenae
 ● ,N_Crantor, ● ,is associated with, ● ,N_Theophrastus
 ● ,N_Crantor, ● ,studied the work of, ● ,N_Homer
 ● ,N_Crates, ● ,is from, ● ,G_Athenae
 ● ,N_Crates, ● ,is associated with, ● ,N_Nicostratus
 ● ,N_Crates, ● ,is from, ● ,G_Asia
 ● ,N_Crates, ● ,is teacher of, ● ,N_Bion
 ● ,N_Crates, ● ,is family of, ● ,N_Antigenes
 ● ,N_Crates, ● ,studied the work of, ● ,N_Homer
 ● ,N_Crates II, ● ,is teacher of, ● ,N_Zeno II
 ● ,N_Crates II, ● ,refers to, ● ,N_Menedemus
 ● ,N_Crates II, ● ,refers to, ● ,G_Phlius
 ● ,N_Crates II, ● ,refers to, ● ,G_Eretria
 ● ,N_Crates II, ● ,refers to, ● ,N_Asclepiades
 ● ,N_Crates XII, ● ,studied the work of, ● ,N_Heraclitus
 ● ,N_Crates XII, ● ,traveled to, ● ,G_Hellas
 ● ,N_Cratinus, ● ,is adversary of, ● ,N_Pythagoras
 ● ,N_Cratinus, ● ,refers to, ● ,N_Solon
 ● ,N_Cratinus, ● ,refers to, ● ,NF_Cleobuline II
 ● ,N_Creophylus, ● ,is family of, ● ,N_Hermodamas
 ● ,N_Critias, ● ,is adversary of, ● ,N_Leon II
 ● ,N_Crito, ● ,is family of, ● ,N_Critobulus
 ● ,N_Crito, ● ,is family of, ● ,N_Epigenes
 ● ,N_Crito, ● ,is family of, ● ,N_Ctesippus
 ● ,N_Crito, ● ,is family of, ● ,N_Hermogenes II
 ● ,N_Crito, ● ,is from, ● ,G_Athenae
 ● ,N_Critobulus, ● ,is family of, ● ,N_Hermogenes II
 ● ,N_Critobulus, ● ,is family of, ● ,N_Ctesippus
 ● ,N_Critobulus, ● ,is family of, ● ,N_Epigenes
 ● ,N_Croesus, ● ,is associated with, ● ,N_Solon
 ● ,N_Croesus, ● ,is adversary of, ● ,N_Thales
 ● ,N_Ctesiclides, ● ,is from, ● ,G_Athenae
 ● ,N_Ctesiclides, ● ,refers to, ● ,N_Xenophon
 ● ,N_Cybisthus, ● ,is family of, ● ,N_Thales
 ● ,N_Cylon, ● ,is from, ● ,G_Crotone
 ● ,N_Cylon, ● ,is adversary of, ● ,N_Pythagoras
 ● ,N_Cypselus, ● ,is family of, ● ,N_Periander
 ● ,N_Cypselus II, ● ,is family of, ● ,N_Periander
 ● ,N_Cypselus II, ● ,is family of, ● ,NF_Lysida
 ● ,N_Daimachus, ● ,refers to, ● ,N_Croesus
 ● ,N_Daimachus, ● ,studied the work of, ● ,N_Plato
 ● ,N_Daimachus, ● ,refers to, ● ,N_Pittacus
 ● ,N_Damagetas, ● ,is family of, ● ,N_Chilon
 ● ,N_Damasus, ● ,is family of, ● ,N_Democritus
 ● ,N_Damo, ● ,is family of, ● ,N_Theano
 ● ,N_Damo, ● ,is family of, ● ,N_Pythagoras
 ● ,N_Damon, ● ,is from, ● ,G_Cyrene
 ● ,N_Damon, ● ,is teacher of, ● ,N_Socrates
 ● ,N_Damon, ● ,refers to, ● ,N_Seven Sages
 ● ,N_Darius, ● ,is family of, ● ,N_Hystaspes
 ● ,N_Darius, ● ,sent letters to, ● ,N_Heraclitus
 ● ,N_Delphis, ● ,is family of, ● ,N_Eudoxus
 ● ,N_Demetrius, ● ,refers to, ● ,N_Diogenes
 ● ,N_Demetrius, ● ,traveled to, ● ,G_Alexandria at Egypt
 ● ,N_Demetrius, ● ,is from, ● ,G_Magnesia
 ● ,N_Demetrius, ● ,refers to, ● ,N_Socrates
 ● ,N_Demetrius, ● ,is family of, ● ,N_Telesphorus
 ● ,N_Demetrius, ● ,is from, ● ,G_Phalerum
 ● ,N_Demetrius, ● ,is associated with, ● ,N_Ptolemy
 ● ,N_Demetrius, ● ,is friend of, ● ,N_Theodorus
 ● ,N_Demetrius, ● ,refers to, ● ,N_Hermias
 ● ,N_Demetrius, ● ,refers to, ● ,N_Heraclitus
 ● ,N_Demetrius, ● ,is associated with, ● ,N_Xenocrates
 ● ,N_Demetrius, ● ,refers to, ● ,N_Xenophanes
 ● ,N_Demetrius, ● ,is associated with, ● ,G_Oropus
 ● ,N_Demetrius, ● ,is friend of, ● ,N_Menander
 ● ,N_Demetrius, ● ,refers to, ● ,N_Anaxagoras
 ● ,N_Demetrius, ● ,refers to, ● ,N_Aristotle
 ● ,N_Demetrius, ● ,refers to, ● ,N_Crito
 ● ,N_Demetrius, ● ,is adversary of, ● ,N_Antigonus III
 ● ,N_Demetrius, ● ,traveled to, ● ,G_Athenae
 ● ,N_Demetrius, ● ,refers to, ● ,N_Zeno
 ● ,N_Demetrius, ● ,refers to, ● ,N_Democritus
 ● ,N_Demetrius, ● ,refers to, ● ,N_Thales
 ● ,N_Demetrius III, ● ,is from, ● ,G_Magnesia
 ● ,N_Demetrius III, ● ,refers to, ● ,N_Alexander
 ● ,N_Demetrius III, ● ,refers to, ● ,N_Eubulus III
 ● ,N_Demetrius III, ● ,refers to, ● ,N_Chrysippus
 ● ,N_Demetrius III, ● ,refers to, ● ,G_Elis
 ● ,N_Demetrius III, ● ,refers to, ● ,N_Hermias
 ● ,N_Demetrius III, ● ,refers to, ● ,N_Xenophon
 ● ,N_Demetrius III, ● ,refers to, ● ,G_Corinth
 ● ,N_Demetrius III, ● ,refers to, ● ,N_Cleanthes
 ● ,N_Demetrius III, ● ,refers to, ● ,N_Socrates
 ● ,N_Demetrius III, ● ,refers to, ● ,N_Epimenides
 ● ,N_Demetrius III, ● ,refers to, ● ,N_Zeno II
 ● ,N_Demetrius III, ● ,refers to, ● ,N_Aristotle
 ● ,N_Demetrius III, ● ,refers to, ● ,N_Thales
 ● ,N_Demetrius III, ● ,refers to, ● ,N_Demetrius
 ● ,N_Demetrius III, ● ,refers to, ● ,N_Mnaseas
 ● ,N_Demetrius III, ● ,refers to, ● ,N_Heraclides
 ● ,N_Demetrius III, ● ,refers to, ● ,N_Crates II
 ● ,N_Demetrius III, ● ,refers to, ● ,N_Philolaus
 ● ,N_Demetrius III, ● ,refers to, ● ,N_Alcmaeon II
 ● ,N_Demetrius III, ● ,refers to, ● ,N_Philesia
 ● ,N_Demetrius IV, ● ,refers to, ● ,N_Socrates
 ● ,N_Demetrius IV, ● ,refers to, ● ,N_Crito
 ● ,N_Demetrius IV, ● ,is from, ● ,G_Byzantium
 ● ,N_Demetrius XXV, ● ,is from, ● ,G_Troezen
 ● ,N_Demetrius XXV, ● ,refers to, ● ,N_Empedocles
 ● ,N_Demetrius XXV, ● ,refers to, ● ,N_Homer
 ● ,N_Demetrius XXVI, ● ,is family of, ● ,N_Persaeus
 ● ,N_Demetrius XXVIII, ● ,traveled to, ● ,G_Cyrene
 ● ,N_Demochares, ● ,is family of, ● ,N_Laches
 ● ,N_Demochares, ● ,is adversary of, ● ,N_Zeno II
 ● ,N_Demochares, ● ,is friend of, ● ,N_Cleochares
 ● ,N_Democritus, ● ,is family of, ● ,N_Damasippus
 ● ,N_Democritus, ● ,traveled to, ● ,G_Ancient Egypt (region)
 ● ,N_Democritus, ● ,traveled to, ● ,G_Aethiopia
 ● ,N_Democritus, ● ,traveled to, ● ,G_Red Sea
 ● ,N_Democritus, ● ,is associated with, ● ,G_Abdera
 ● ,N_Democritus, ● ,is from, ● ,G_Miletus
 ● ,N_Democritus, ● ,is family of, ● ,N_Athenocritus
 ● ,N_Democritus, ● ,is teacher of, ● ,N_Protagoras
 ● ,N_Democritus, ● ,is associated with, ● ,N_Xerxes
 ● ,N_Democritus, ● ,is associated with, ● ,N_Gymnosophists
 ● ,N_Democritus, ● ,is family of, ● ,N_Philolaus
 ● ,N_Democritus, ● ,is teacher of, ● ,N_Metrodorus
 ● ,N_Democritus, ● ,traveled to, ● ,G_Persia
 ● ,N_Democritus, ● ,is family of, ● ,N_Hegesistratus
 ● ,N_Democritus, ● ,is associated with, ● ,N_Pythagoras
 ● ,N_Democritus, ● ,refers to, ● ,N_Thales
 ● ,N_Democritus, ● ,is associated with, ● ,N_Archelaus
 ● ,N_Democritus, ● ,is associated with, ● ,N_Leucippus
 ● ,N_Democritus II, ● ,is from, ● ,G_Chios (island)
 ● ,N_Democritus IV, ● ,is associated with, ● ,G_Samothrace
 ● ,N_Democritus IV, ● ,is associated with, ● ,G_Ephesus
 ● ,N_Democritus VI, ● ,is from, ● ,G_Pergamum
 ● ,N_Demodicus, ● ,is from, ● ,G_Leros
 ● ,N_Demophilus, ● ,is adversary of, ● ,N_Aristotle
 ● ,N_Demophilus, ● ,refers to, ● ,N_Theophrastus
 ● ,N_Demosthenes, ● ,traveled to, ● ,G_Calauria
 ● ,N_Dicaearchus, ● ,refers to, ● ,N_Seven Sages
 ● ,N_Dicaearchus, ● ,refers to, ● ,N_Cleobulus
 ● ,N_Dicaearchus, ● ,refers to, ● ,N_Bias
 ● ,N_Dicaearchus, ● ,refers to, ● ,N_Chilon
 ● ,N_Dicaearchus, ● ,refers to, ● ,N_Pittacus
 ● ,N_Dicaearchus, ● ,refers to, ● ,N_Thales
 ● ,N_Dicaearchus, ● ,refers to, ● ,N_Anacharsis
 ● ,N_Dicaearchus, ● ,refers to, ● ,N_Periander
 ● ,N_Dicaearchus, ● ,refers to, ● ,N_Pamphylus
 ● ,N_Dicaearchus, ● ,refers to, ● ,N_Aristodemus
 ● ,N_Dicaearchus, ● ,refers to, ● ,N_Solon
 ● ,N_Dicaearchus, ● ,refers to, ● ,N_Pythagoras
 ● ,N_Didymus, ● ,refers to, ● ,N_Demetrius
 ● ,N_Dieuchidas, ● ,refers to, ● ,N_Pisistratus
 ● ,N_Dieuchidas, ● ,refers to, ● ,N_Homer
 ● ,N_Dieuchidas, ● ,refers to, ● ,N_Solon
 ● ,N_Dinarchus, ● ,refers to, ● ,N_Xenophon
 ● ,N_Dinarchus, ● ,refers to, ● ,N_Gryllus
 ● ,N_Dinarchus, ● ,refers to, ● ,G_Sparta
 ● ,N_Dinarchus, ● ,refers to, ● ,N_Diodorus V
 ● ,N_Dinon, ● ,refers to, ● ,N_Protagoras
 ● ,N_Diocles, ● ,refers to, ● ,N_Chrysippus
 ● ,N_Diocles, ● ,refers to, ● ,N_Dionysius IV
 ● ,N_Diocles, ● ,refers to, ● ,N_Menedemus
 ● ,N_Diocles, ● ,refers to, ● ,N_Zeno II
 ● ,N_Diocles, ● ,refers to, ● ,N_Heraclides
 ● ,N_Diocles, ● ,refers to, ● ,N_Alexinus
 ● ,N_Diocles, ● ,refers to, ● ,N_Pyrrho
 ● ,N_Diocles, ● ,refers to, ● ,N_Polemo
 ● ,N_Diocles, ● ,refers to, ● ,N_Pleistarchus
 ● ,N_Diocles, ● ,refers to, ● ,N_Ariston IV
 ● ,N_Diocles, ● ,refers to, ● ,N_Cleanthes
 ● ,N_Diodorus, ● ,traveled to, ● ,G_Alexandria at Egypt
 ● ,N_Diodorus, ● ,is associated with, ● ,N_Ptolemy
 ● ,N_Diodorus, ● ,is teacher of, ● ,N_Philo II
 ● ,N_Diodorus, ● ,is family of, ● ,N_Ameinias
 ● ,N_Diodorus, ● ,is friend of, ● ,N_Zeno II
 ● ,N_Diodorus III, ● ,refers to, ● ,N_Empedocles
 ● ,N_Diodorus III, ● ,studied the work of, ● ,N_Anaximander
 ● ,N_Diodorus III, ● ,is from, ● ,G_Ephesus
 ● ,N_Diodorus IV, ● ,refers to, ● ,N_Speusippus
 ● ,N_Diodorus V, ● ,traveled to, ● ,G_Lepreum
 ● ,N_Diodorus V, ● ,traveled to, ● ,G_Athenae
 ● ,N_Diodorus V, ● ,is family of, ● ,N_Gryllus III?
 ● ,N_Diodorus V, ● ,is family of, ● ,N_Philesia
 ● ,N_Diodorus V, ● ,traveled to, ● ,G_Corinth
 ● ,N_Diodotus, ● ,is associated with, ● ,N_Heraclitus
 ● ,N_Diogenes, ● ,is from, ● ,G_Apollonia Pontica
 ● ,N_Diogenes II, ● ,refers to, ● ,N_Aristippus
 ● ,N_Diogenes II, ● ,refers to, ● ,N_Ichthyas
 ● ,N_Diogenes III, ● ,is teacher of, ● ,N_Zenodotus II
 ● ,N_Diogenes IV, ● ,is from, ● ,G_Akkon
 ● ,N_Diogenes VII, ● ,is from, ● ,G_Smyrna
 ● ,N_Diogenes VII, ● ,is teacher of, ● ,N_Anaxarchus
 ● ,N_Diomedon, ● ,refers to, ● ,N_Zeno
 ● ,N_Dion, ● ,is from, ● ,G_Syracuse
 ● ,N_Dionysius, ● ,refers to, ● ,NF_Lasthenia
 ● ,N_Dionysius, ● ,sent letters to, ● ,N_Speusippus
 ● ,N_Dionysius, ● ,is adversary of, ● ,N_Plato
 ● ,N_Dionysius, ● ,refers to, ● ,N_Pythagoras VIII
 ● ,N_Dionysius II, ● ,is from, ● ,G_Syracuse
 ● ,N_Dionysius II, ● ,is associated with, ● ,N_Simus
 ● ,N_Dionysius IV, ● ,is from, ● ,G_Heraclea
 ● ,N_Dionysius IV, ● ,is associated with, ● ,N_Heraclides
 ● ,N_Dionysius IV, ● ,studied the work of, ● ,N_Aratus
 ● ,N_Dionysius IV, ● ,is family of, ● ,N_Theophantus
 ● ,N_Dionysius V, ● ,is teacher of, ● ,N_Theodorus
 ● ,N_Dionysius VIII, ● ,refers to, ● ,N_Heraclitus
 ● ,N_Dionysodorus, ● ,refers to, ● ,N_Socrates
 ● ,N_Dioscurides, ● ,refers to, ● ,N_Solon
 ● ,N_Diphilus, ● ,is family of, ● ,N_Euphantus
 ● ,N_Diphilus, ● ,is from, ● ,G_Bosphorus
 ● ,N_Diphilus, ● ,is from, ● ,G_Bosporus
 ● ,N_Dorian, ● ,is from, ● ,G_Doris
 ● ,N_Dosiadas, ● ,is family of, ● ,N_Epimenides
 ● ,N_Duris, ● ,refers to, ● ,N_Pherecydes
 ● ,N_Duris, ● ,refers to, ● ,N_Thales
 ● ,N_Duris, ● ,refers to, ● ,N_Socrates
 ● ,N_Duris, ● ,refers to, ● ,N_Pittacus
 ● ,N_Duris, ● ,refers to, ● ,N_Cleobulus
 ● ,N_Duris, ● ,refers to, ● ,N_Hyrrhadius
 ● ,N_Duris, ● ,refers to, ● ,N_Bias
 ● ,N_Egyptians, ● ,is from, ● ,G_Ancient Egypt (region)
 ● ,N_Eleusis (Person), ● ,refers to, ● ,N_Thyrion
 ● ,N_Elians, ● ,is from, ● ,G_Elis
 ● ,N_Empedocles, ● ,studied the work of, ● ,N_Permenides
 ● ,N_Empedocles, ● ,is family of, ● ,N_Exaenetus
 ● ,N_Empedocles, ● ,refers to, ● ,N_Nestis
 ● ,N_Empedocles, ● ,studied the work of, ● ,N_Xenophanes
 ● ,N_Empedocles, ● ,refers to, ● ,N_Zeus
 ● ,N_Empedocles, ● ,traveled to, ● ,G_Hades (Place)
 ● ,N_Empedocles, ● ,is associated with, ● ,N_Panthea
 ● ,N_Empedocles, ● ,is associated with, ● ,N_Pythagoreans
 ● ,N_Empedocles, ● ,is adversary of, ● ,N_Acron
 ● ,N_Empedocles, ● ,traveled to, ● ,G_Olympian Zeus sanctuary (Eleia)
 ● ,N_Empedocles, ● ,traveled to, ● ,G_Messene
 ● ,N_Empedocles, ● ,traveled to, ● ,G_Peloponnesus
 ● ,N_Empedocles, ● ,is associated with, ● ,G_Selinus
 ● ,N_Empedocles, ● ,is from, ● ,G_Agrigentum
