Source,Target,Relation
Strato,Lampsacus,is from
Hierocles,Caria,is from
Moschus,Elis,is from
Epimenides,Cnossos,is from
Thaumasias,Pitane,is from
Ascanius,Abdera,is from
Diodorus,Iasos,is from
Anaxarchus,Abdera,is from
Themistoclea,Didyma/Branchidai/Ioustinianopolis,is from
Lasos,Hermion(e),is from
Metrocles,Maronea,is from
Thales,Miletus,is from
Phanton,Phlius,is from
Posidonius II,Alexandria at Egypt,is from
Diogenes IV,Akkon,is from
Apsephion,Athenae,is from
Stilpo,Megara (Attica),is from
Menedemus,Eretria,is from
Hecataeus,Abdera,is from
Empedocles,Agrigentum,is from
Evander,Phocaea,is from
Diphilus,Bosporus,is from
Caduidas,Skythai,is from
Leon II,Salamis,is from
Athenodorus,Soli,is from
Philolaus,Crotone,is from
Myson,Etis,is from
Anchipylus,Elis,is from
Heraclides IV,Tarsus,is from
Dorian,Doris,is from
Agesilaus,Sparta,is from
Pausanias,Gela,is from
Parmenides,Elea,is from
Chaldaeans,Persia,is from
Polymnastus,Phlius,is from
Pittacus,Mitylene,is from
Zeno II,Kition (Cyprus),is from
Cylon,Crotone,is from
Lobon,Argos,is from
Amphicritus,Eretria,is from
Xenophon VI,Kos,is from
Cleippides,Cyzicus,is from
Archelaus II,Macedonia,is from
Aston,Crotone,is from
Egyptians,Ancient Egypt (region),is from
Casander,Macedonia,is from
Justus,Tiberias,is from
Lucanians,Lucania,is from
Archytas,Taras/Tarentum/Neptunia,is from
Demetrius,Phalerum,is from
Neophron,Sicyon,is from
Teucer,Carthago,is from
Antigonus,Carystus,is from
Gryllus II,Athenae,is from
Pherecydes,Syros,is from
Thrasybulus,Miletus,is from
Euclides,Megara (Attica),is from
Syracusans,Syracuse,is from
Plato,Athenae,is from
Magi,Persia,is from
Hermias,Bithynia,is from
Pythagoras V,Samos,is from
Bias,Priene,is from
Periander II,Ambracia,is from
Xenophanes,Colophon,is from
Crito,Athenae,is from
Euphantus,Olynthus,is from
Acron,Agrigentum,is from
Salarus,Priene,is from
Demetrius IV,Byzantium,is from
Anytus,Athenae,is from
Marmacus,Phlius,is from
Phocus,Samos,is from
Glaucon II,Athenae,is from
Boton,Athenae,is from
Theodete,Elis,is from
Hippasus III,Lacedaemon/Laconia,is from
Heraclitus IV,Lesbos,is from
Metapontines,Metapontum,is from
Magas,Cyrene,is from
Hicetas,Syracuse,is from
Zeno,Elea,is from
Nileos,Phoenicia,is from
Polycrates,Samos,is from
Bion,Borysthenes (Olbia),is from
Callippus II,Corinth,is from
Heraclitus III,Halicarnassus,is from
Epimenides,Creta,is from
Sphaerus,Bosporus,is from
Xenophanes II,Lesbos,is from
Axiothea,Phlius,is from
Polycritus,Mende,is from
Euphorbus,Phrygia region,is from
Heraclides II,Callatis,is from
Demodicus,Leros,is from
Anaximander II,Miletus,is from
Demosthenes,Athenae,is from
Romans,Rome,is from
Antipater,Cyrene,is from
Crates,Asia,is from
Hegesinus,Pergamum,is from
Xenophon,Athenae,is from
Apollonius II,Tyre,is from
Herillus,Carthago,is from
Aristodemus,Sparta,is from
Cebes,Thebes,is from
Myronianus,Amastris,is from
Zeno II,Phoenicia,is from
Phila,Elis,is from
Sosibius,Lacedaemon/Laconia,is from
Philonides,Thebes,is from
Aristotle,Stagira,is from
Pythagoras,Samos,is from
Alcibiades,Athenae,is from
Antipater IV,Tarsus,is from
Athenians,Athenae,is from
Archetimus,Syracuse,is from
Meno,Pharsalus,is from
Apollodorus VI,Cyzicus,is from
Simus,Phrygia region,is from
Archelaus,Miletus,is from
Bathycles,Arkadia region,is from
Ion,Chios (island),is from
Metrodorus,Lampsacus,is from
Xanthus II,Arcesilaus,is teacher of
Paraebates,Anniceris,is teacher of
Euclides,Clinomachus,is teacher of
Philolaus,Diocles,is teacher of
Ariston IV,Miltiades III,is teacher of
Anaxarchus,Pyrrho,is teacher of
Aristippus,The Cyrenaics,is teacher of
Stilpo,Paeonius,is teacher of
Zeno II,Philonides,is teacher of
Eubulides,Apollonius,is teacher of
Stilpo,Menedemus,is teacher of
Zeno II,Athenodorus,is teacher of
Speusippus,Lasthenia,is teacher of
Plistanus,Asclepiades,is teacher of
Philolaus,Polymnastus,is teacher of
Archytas,Eudoxus,is teacher of
Archelaus,Xenophanes,is teacher of
Alexinus,Dionysius IV,is teacher of
Anaximenes,Diogenes,is teacher of
Stilpo,Myrmex,is teacher of
Arcesilaus,Crates,is teacher of
Autolycus,Arcesilaus,is teacher of
Damon,Socrates,is teacher of
Anaximander,Parmenides,is teacher of
Pythagoras,Charondas,is teacher of
Stilpo,Metrodorus II,is teacher of
Anaxagoras,Euripides,is teacher of
Pyrrho,Hecataeus,is teacher of
Anaxagoras,Empedocles,is teacher of
Euclides,Stilpo,is teacher of
Zeno II,Herillus,is teacher of
Theophrastus,Erasistratus,is teacher of
Stilpo,Simmias,is teacher of
Eurytus,Diocles,is teacher of
Anaxagoras,Damon,is teacher of
Anaxagoras,Archelaus,is teacher of
Menedemus,Antigonus,is teacher of
Stilpo,Alcimus,is teacher of
Diodorus,Philo II,is teacher of
Theodorus,Bion,is teacher of
Themistoclea,Pythagoras,is teacher of
Chrysippus,Aristocreon,is teacher of
Pythagoras,Empedocles,is teacher of
Protagoras,Archagoras,is teacher of
Hippasus,Empedocles,is teacher of
Democritus,Metrodorus,is teacher of
Euphantus,Antigonus,is teacher of
Egyptian Priests,Democritus,is teacher of
Carneades,Clitomachus,is teacher of
Theophrastus,Menander,is teacher of
Plistanus,Menedemus,is teacher of
Xenocrates,Crantor,is teacher of
Stilpo,Zeno II,is teacher of
Boton,Xenophanes,is teacher of
Ariston IV,Diphilus III,is teacher of
Magi,Democritus,is teacher of
Aristotle,Simmias,is teacher of
Aristippus IV,Theodorus,is teacher of
Lysis II,Epaminondas,is teacher of
Phaedo,Menedemus,is teacher of
Nessas,Metrodorus,is teacher of
Athlius,Chrysippus VI,is teacher of
Telauges,Empedocles,is teacher of
Eubulides,Diodorus,is teacher of
Aeschines,Aristotle II,is teacher of
Aristotle,Alexander,is teacher of
Speusippus,Axiothea,is teacher of
Plato,Axiothea,is teacher of
Diogenes VII,Anaxarchus,is teacher of
Zeno II,Cleanthes,is teacher of
Antipater,Epitimides,is teacher of
Eurytus,Xenophilus,is teacher of
Hipponicus II,Arcesilaus,is teacher of
Eubulides,Euphantus,is teacher of
Stilpo,Diphilus,is teacher of
Aeschines IV,Isocrates,is teacher of
Eurytus,Polymnastus,is teacher of
Phaedo,Anchipylus,is teacher of
Archelaus,Socrates,is teacher of
Aristippus,Aethiops,is teacher of
Zeno II,Ariston IV,is teacher of
Stilpo,Phrasidemus,is teacher of
Zeno II,Posidonius II,is teacher of
Euclides,Eubulides,is teacher of
Anniceris,Theodorus,is teacher of
Eubulides,Alexinus,is teacher of
Empedocles,Gorgias,is teacher of
Aristotle,Heraclides,is teacher of
Antipater IV,Heraclides IV,is teacher of
Anaxagoras,Pericles,is teacher of
Pyrrho,Eurylochus III,is teacher of
Socrates,Plato,is teacher of
Zeno II,Dionysius IV,is teacher of
Parmenides,Empedocles,is teacher of
Theophrastus,Bion,is teacher of
Stilpo,Crates II,is teacher of
Athenaeus,Theodorus XVII,is teacher of
Theophrastus,Metrodorus,is teacher of
Thrasymachus,Stilpo,is teacher of
Zenodotus,Anaxagoras IV,is teacher of
Aristides,Paeonius,is teacher of
Magi,Pyrrho,is teacher of
Chaldaeans,Democritus,is teacher of
Theophrastus,Timaeus,is teacher of
Xenocrates,Zeno II,is teacher of
Eurytus,Echecrates,is teacher of
Philolaus,Echecrates,is teacher of
Crates II,Zeno II,is teacher of
Moschus,Asclepiades,is teacher of
Arcesilaus,Chrysippus,is teacher of
Socrates,Epigenes,is teacher of
Stilpo,Timagoras,is teacher of
Zeno II,Callippus II,is teacher of
Plato,Xenocrates,is teacher of
Pittacus,Pherecydes,is teacher of
Plato,Eudoxus,is teacher of
Gorgias,Proxenus,is teacher of
Pythagoras,Archippus,is teacher of
Theophrastus,Demetrius,is teacher of
Parmenides,Zeno,is teacher of
Anaximander,Anaximenes,is teacher of
Pythagoras,Zaleucus,is teacher of
Panthoides,Lyco,is teacher of
Brontinus,Empedocles,is teacher of
Plato,Speusippus,is teacher of
Crantor,Arcesilaus,is teacher of
Philistion,Eudoxus,is teacher of
Cleanthes,Sphaerus,is teacher of
Socrates,Critobulus,is teacher of
Isocrates,Anaxagoras II,is teacher of
Stilpo,Asclepiades,is teacher of
Dionysius V,Theodorus,is teacher of
Socrates,Charmides,is teacher of
Thales,Anaximander,is teacher of
Philolaus,Phanton,is teacher of
Pythagoras,Alcmaeon II,is teacher of
Plato,Menedemus,is teacher of
Strato,Ptolemy II,is teacher of
Pythagoras,Glaucus,is teacher of
Anaximenes,Anaxagoras,is teacher of
Zeno II,Halcyoneus,is teacher of
Pythagoras,Epicharmus,is teacher of
Epitimides,Paraebates,is teacher of
Polemo,Crates,is teacher of
Crates,Bion,is teacher of
Socrates,Hermogenes II,is teacher of
Polemo,Zeno II,is teacher of
Menedemus,Dionysius IV,is teacher of
Zeno II,Persaeus,is teacher of
Bryson,Pyrrho,is teacher of
Zeno II,Zeno IX,is teacher of
Paraebates,Hegesias,is teacher of
Diogenes III,Zenodotus II,is teacher of
Chrysippus,Philocrates II,is teacher of
Aristotle,Clitarchus,is teacher of
Theophrastus,Timagoras,is teacher of
Eurytus,Phanton,is teacher of
Xenophanes,Parmenides,is teacher of
Zeno,Leucippus,is teacher of
Zeno II,Sphaerus,is teacher of
Stilpo,Metrodorus,is teacher of
Posidonius,Phanias III,is teacher of
Stilpo,Clitarchus,is teacher of
Socrates,Simon,is teacher of
Parmenides,Melissus,is teacher of
Theophrastus,Metrodorus II,is teacher of
Lacydes,Chrysippus,is teacher of
Carneades,Mentor,is teacher of
Socrates,Crito,is teacher of
Parmenides,Anaximenes,is teacher of
Polemo,Crantor,is teacher of
Phaedo,Moschus,is teacher of
Phaedo,Plistanus,is teacher of
Cleanthes,Chrysippus,is teacher of
Plato,Aristotle,is teacher of
Euclides,Ichthyas,is teacher of
Socrates,Ctesippus,is teacher of
Philolaus,Xenophilus,is teacher of
Gymnosophists,Pyrrho,is teacher of
Anaxagoras,Socrates,is teacher of
Democritus,Protagoras,is teacher of
Demetrius III,Eubulus III,refers to
Apollodorus,Zeno,refers to
Aristotle,Zeno,refers to
Antigonus,Anaxagoras III,refers to
Apollodorus VII,Pythagoras,refers to
Favorinus,Cleon,refers to
Aristotle,Xenophon,refers to
Hermippus,Aristotle,refers to
Hieronymus,Socrates,refers to
Dicaearchus,Anacharsis,refers to
Satyrus,Socrates,refers to
Sophilus,Stilpo,refers to
Hermippus,Pherecydes,refers to
Dicaearchus,Pamphylus,refers to
Empedocles,Zeus,refers to
Antigonus,Pyrrho,refers to
Sosicrates,Pisistratus,refers to
Anaximenes,Sicily,refers to
Xenophon,Glaucon II,refers to
Maeandrius,Epimenides,refers to
Hermippus,Aristodemus,refers to
Timon,Zeno II,refers to
Dionysius,Lasthenia,refers to
Onetor,Stilpo,refers to
Aristoxenus,Archelaus,refers to
Apollodorus,Crates,refers to
Timaeus,Empedocles,refers to
Timon,Pyrrho,refers to
Ephorus,Hegesilaus,refers to
Damon,Seven Sages,refers to
Hieronymus,Myrto,refers to
Panaetius,The Cyrenaics,refers to
Hermippus,Acusilaus,refers to
Hippobotus,Myson,refers to
Sotion,Aristotle,refers to
Satyrus,Empedocles,refers to
Aristophanes,Athenae,refers to
Philemon,Zeno II,refers to
Demetrius III,Mnaseas,refers to
Ariston IV,Pyrrho,refers to
Ariston IV,Odysseus,refers to
Sosicrates,Pittacus,refers to
Anaximenes,Crotone,refers to
Apollodorus,Aristotle,refers to
Sosicrates,Myson,refers to
Hermippus,Bias,refers to
Demetrius,Heraclitus,refers to
Xenophon III,Epaminondas,refers to
Aristotle,Empedocles,refers to
Favorinus,Parmenides,refers to
Dicaearchus,Solon,refers to
Archetimus,Seven Sages,refers to
Aristotle,Periander,refers to
Anaxagoras,Homer,refers to
Euphantus,Demetrius,refers to
Hippobotus,Anacharsis,refers to
Satyrus,Pausanians,refers to
Sosibius,Epimenides,refers to
Dicaearchus,Cleobulus,refers to
Hermippus,Ptolemy,refers to
Satyrus,Thucydides,refers to
Timon,Melissus,refers to
Favorinus,Democritus,refers to
Satyrus,Pausanias,refers to
Menedemus,Lysimachia,refers to
Apollodorus,Arcesilaus,refers to
Xenophon III,Pelopidas,refers to
Polycritus,Carcinus,refers to
Demetrius III,Crates II,refers to
Lysias,Draco,refers to
Favorinus,Isthmus,refers to
Alexander II,Carneades,refers to
Aristoxenus,Pythagoras,refers to
Philochorus,Euripides,refers to
Alexo,Thyrion,refers to
Panaetius,Plato,refers to
Aenesidemus,Pyrrho,refers to
Nicomedes,Heraclitus,refers to
Aristippus,Alcibiades,refers to
Demetrius III,Zeno II,refers to
Anaximander,Apollodorus,refers to
Antipater V,Zeno II,refers to
Daimachus,Croesus,refers to
Heraclitus,Hesiod,refers to
Thales,Nile,refers to
Bion,Amphiaraus,refers to
Zeno II,Euripides,refers to
Aristoxenus,Archytas,refers to
Xenophon IV,Hannibal,refers to
Phanias III,Panaetius,refers to
Demetrius XXV,Homer,refers to
Hermippus,Isocrates,refers to
Istrus,Eubulus V,refers to
Didymus,Demetrius,refers to
Apollodorus III,Solon,refers to
Timon,Parmenides,refers to
Timon,Cleanthes,refers to
Meleager,The Cyrenaics,refers to
Favorinus,Demetrius,refers to
Apollodorus,Strato,refers to
Heraclitus,Archilochus,refers to
Duris,Cleobulus,refers to
Demetrius,Anaxagoras,refers to
Hippobotus,Bias,refers to
Hermippus,Boeotia,refers to
Apollodorus,Eudoxus III,refers to
Diocles,Zeno II,refers to
Xenophanes,Pythagoras,refers to
Callimachus,Pittacus,refers to
Hippobotus,Heraclides,refers to
Hermippus,Democritus,refers to
Demophilus,Theophrastus,refers to
Bion,Socrates,refers to
Justus,Athenae,refers to
Panaetius,Aristippus,refers to
Amphicrates,Theodorus,refers to
Menedemus,Xanthippe,refers to
Hermippus,Empedocles,refers to
Timaeus,Herpyllis,refers to
Sotion,Chrysippus,refers to
Timon,Democritus,refers to
Caeneus,Isocrates,refers to
Timotheus,Aristotle,refers to
Diocles,Chrysippus,refers to
Heraclides,Stilpo,refers to
Aristoxenus,Xenophilus,refers to
Hieronymus,Anaxagoras,refers to
Theodorus,Dionysus the God,refers to
Demetrius,Thales,refers to
Apollodorus II,Solon,refers to
Apollonius II,Zeno II,refers to
Hippobotus,Orpheus,refers to
Heraclides,Pausanias,refers to
Arcesilaus,Theophrastus,refers to
Metrodorus,Homer,refers to
Ion,Orpheus,refers to
Euphantus,Oropus,refers to
Demetrius III,Demetrius,refers to
Diogenes II,Aristippus,refers to
Favorinus,Delphi,refers to
Minyas,Thrasybulus,refers to
Panaetius,Aeschines,refers to
Favorinus,Demophilus,refers to
Alexander II,Pherecydes,refers to
Hermippus,Epimenides,refers to
Empedocles,Hera,refers to
Ephorus,Periander,refers to
Favorinus,Carneades,refers to
Duris,Thales,refers to
Apollodorus,Empedocles,refers to
Timon,Anaxagoras,refers to
Satyrus,Myrto,refers to
Chrysippus,Zeno II,refers to
Demetrius,Xenophanes,refers to
Phanodicus,Bias,refers to
Favorinus,Aristotle,refers to
Dieuchidas,Homer,refers to
Ctesiclides,Xenophon,refers to
Neanthes,Periander,refers to
Sotion,Cleon,refers to
Herodotus,Xerxes,refers to
Zeno II,Pythagoras II,refers to
Heraclitus,Bias,refers to
Xanthus,Empedocles,refers to
Ambryon,Theocritus,refers to
Demetrius,Socrates,refers to
Archytas,Lamiscus,refers to
Hippobotus,Zeno IX,refers to
Herodotus,Periander,refers to
Eumelus,Aristotle,refers to
Clearchus,Pittacus,refers to
Andron,Aristodemus,refers to
Justus,Socrates,refers to
Phanias,Socrates,refers to
Panaetius,Xenophanes,refers to
Ion,Socrates,refers to
Sosicrates,Thales,refers to
Dinarchus,Gryllus II,refers to
Archytas,Teucer,refers to
Timon,Menedemus,refers to
Idomeneus,Aristippus,refers to
Ion,Pherecydes,refers to
Myronianus,Pompylus,refers to
Aristippus II,Theophrastus,refers to
Favorinus,Eratosthenes,refers to
Sosicrates,Chilon,refers to
Alexander II,Philocomus,refers to
Dieuchidas,Pisistratus,refers to
Alexander II,Chrysippus,refers to
Timocrates,Zeno II,refers to
Panaetius,Euclides,refers to
Favorinus,Meletus,refers to
Aristoxenus,Plato,refers to
Chamaeleon,Heraclides,refers to
Hermippus,Polycrates II,refers to
Dinarchus,Diodorus V,refers to
Ariston,Heraclitus,refers to
Neanthes,Pythagoreans,refers to
Polycritus,Dionysius II,refers to
Demetrius IV,Crito,refers to
Heraclides,Homer,refers to
Cleanthes,Heraclitus,refers to
Istrus,Xenophon,refers to
Diocles,Alexinus,refers to
Herodotus,Pythagoras,refers to
Euthyrphro III,Myson,refers to
Bion,Archytas II,refers to
Eleusis (Person),Thyrion,refers to
Aristippus,Pausanias,refers to
Heraclitus,Thales,refers to
Minyas,Thales,refers to
Duris,Bias,refers to
Philochorus,Socrates,refers to
Favorinus,Conon,refers to
Diocles,Pyrrho,refers to
Dicaearchus,Chilon,refers to
Poseidippus,Zeno II,refers to
Timon,Zeno,refers to
Bion,Alcibiades,refers to
Ephorus,Anacharsis,refers to
Seleucus II,Heraclitus,refers to
Pisistratus,Aeschines,refers to
Antishenes,Lycon,refers to
Callimachus,Aeschines,refers to
Justus,Plato,refers to
Dioscurides,Solon,refers to
Callimachus,Philistion,refers to
Hermippus,Anaxagoras,refers to
Clitomachus,The Cyrenaics,refers to
Diodorus III,Empedocles,refers to
Apollodorus,Democritus,refers to
Demetrius III,Hermias,refers to
Strato,Aristippus,refers to
Zeno II,Homer,refers to
Demetrius IV,Socrates,refers to
Alexandria at Egypt,Ancient Egypt (region),refers to
Timon,Ariston IV,refers to
Antisthenes II,Cleanthes,refers to
Herodotus,Zamolxis,refers to
Demetrius III,Thales,refers to
Dinon,Protagoras,refers to
Idomeneus,Socrates,refers to
Anticlides,Pythagoras,refers to
Demetrius III,Philesia,refers to
Heraclides II,Demetrius,refers to
Demetrius III,Philolaus,refers to
Anaximenes,Persia,refers to
Zeno II,Socrates,refers to
Alexinus,Ephorus,refers to
Panaetius,Xenophon,refers to
Apollodorus,Pythagoras,refers to
Choerilus,Thales,refers to
Dicaearchus,Seven Sages,refers to
Sotion,Xenophanes,refers to
Andron,Chilon,refers to
Idomeneus,Aeschines,refers to
Favorinus,Anaxagoras,refers to
Timon,Aristotle,refers to
Theodorus XIII,Menodotus,refers to
Favorinus,Socrates,refers to
Dieuchidas,Solon,refers to
Sosicrates,Strymon,refers to
Ephorus,Seven Sages,refers to
Epicurus,Philonides,refers to
Dicaearchus,Aristodemus,refers to
Phanias,Aristippus,refers to
Crates II,Eretria,refers to
Antigonus,Philostratus,refers to
Sotion,Heraclides,refers to
Hippobotus,Philonides,refers to
Euclides,Parmenides,refers to
Onetor,Nicarete,refers to
Apollodorus,Pyrrho,refers to
Duris,Socrates,refers to
Duris,Pittacus,refers to
Anaximenes II,Alexander,refers to
Timon,Xenophanes,refers to
Plato,Zeno,refers to
Isocrates,Gryllus II,refers to
Sphaerus,Heraclitus,refers to
Xenophon,The Thirty,refers to
Dicaearchus,Pythagoras,refers to
Mnesimachus,Euripides,refers to
Diocles,Dionysius IV,refers to
Eudoxus,Thales,refers to
Hieronymus,Scythinus,refers to
Arcesilaus,Menodorus,refers to
Bion,Aristippus,refers to
Aristotle,Arimnestus,refers to
Plato,Periander,refers to
Sotion,Lais,refers to
Sosicrates,Leon,refers to
Hippobotus,Periander,refers to
Lobon,Epimenides,refers to
Pamphila,Thales,refers to
Dionysius VIII,Heraclitus,refers to
Demetrius,Hermias,refers to
Crates II,Asclepiades,refers to
Antishenes,Anytus,refers to
Aristippus VI,Concubine of Hermias,refers to
Favorinus,Xenophanes,refers to
Aristippus,Pythagoras,refers to
Heraclides,Thales,refers to
Zenodotus II,Zeno II,refers to
Eumelus,Chalcis,refers to
Antishenes,Heraclitus,refers to
Duris,Pherecydes,refers to
Anaximenes,Ionia region (Asia Minor),refers to
Hermippus,Thales,refers to
Apollodorus,Thales,refers to
Hippobotus,Pittacus,refers to
Aristoxenus,Socrates,refers to
Apollonius II,Stilpo,refers to
Hermippus,Chilon,refers to
Plutarch,Speusippus,refers to
Arcesilaus,Epicurus,refers to
Hipponax,Bias,refers to
Hippobotus,Epicharmus,refers to
Plato,Prodicus,refers to
Sotion,Parmenides,refers to
Hieronymus,Phaedo,refers to
Glaucos,Empedocles,refers to
Sotion,Aristippus,refers to
Ion,Archelaus,refers to
Herodotus,Chilon,refers to
Antigonus,Polemo,refers to
Plato,Thales,refers to
Polycritus,Dion,refers to
Ephorus,Cephisodorus,refers to
Epicurus,Persaeus,refers to
Ambryon,Aristotle,refers to
Lycon III,Aristotle,refers to
Polycritus,Syracuse,refers to
Dicaearchus,Thales,refers to
Hermippus,Anacharsis,refers to
Demetrius III,Aristotle,refers to
Hippobotus,Thales,refers to
Aristoxenus,Pherecydes,refers to
Favorinus,Eudoxus,refers to
Numenius,Pyrrho,refers to
Hippias,Thales,refers to
Timaeus,Pythagoras,refers to
Mnesimachus,Socrates,refers to
Hermippus,Zeus,refers to
Antigonus,Crantor,refers to
Callimachus,Thales,refers to
Heraclides,Artemon,refers to
Heraclitus,Homer,refers to
Dionysius,Pythagoras VIII,refers to
Zeno,Hesiod,refers to
Demetrius III,Xenophon,refers to
Menedemus,Socrates,refers to
Hippobotus,Posidonius II,refers to
Myroianus,Demetrius,refers to
Sosicrates,Anacharsis,refers to
Hermippus,Pittacus,refers to
Demetrius XXV,Empedocles,refers to
Neanthes,Empedocles,refers to
Sosicrates,Croesus,refers to
Diocles,Heraclides,refers to
Sosicrates,Solon,refers to
Plato,Myson,refers to
Favorinus,Mentor,refers to
Hieronymus,Pericles,refers to
Apollonius II,Crates II,refers to
Aristippus,Persian King,refers to
Hermippus,Chrysippus,refers to
Callimachus,Archytas,refers to
Favorinus,Anaximander,refers to
Favorinus,Bion,refers to
Aristotle,A Magician,refers to
Hermippus,Lyco,refers to
Anaximenes,Italy,refers to
Eumelus,Plato,refers to
Aristotle,Nicanor's mother,refers to
Pythian Priestess,Socrates,refers to
Hippobotus,Pythagoras,refers to
Apollodorus,Carneades,refers to
Antisthenes II,Chilon,refers to
Heraclides,Pythagoras,refers to
Demetrius III,Socrates,refers to
Myronianus,Antipater II,refers to
Antigonus,Lyco,refers to
Simonides,Pittacus,refers to
Theaetetus II,Pythagoras,refers to
Diocles,Menedemus,refers to
Idomeneus,Plato,refers to
Apollodorus V,Epicurus,refers to
Diocles,Cleanthes,refers to
Aristippus II,Polemo,refers to
Timon,Hellas,refers to
Ion,Pythagoras,refers to
Timon,Aristippus,refers to
Athenodorus,Democritus,refers to
Theodosius,Sceptics,refers to
Timon,Socrates,refers to
Aristotle,Syria,refers to
Antagoras,Crates,refers to
Antishenes,Anniceris,refers to
Pamphila,Chilon,refers to
Aristotle,Delphi,refers to
Timonides,Bion,refers to
Duris,Hyrrhadius,refers to
Timotheus,Zeno II,refers to
Hermippus,Strymon,refers to
Diomedon,Zeno,refers to
Panaetius,Antishenes,refers to
Alexinus,Zeno,refers to
Hermippus,Eubulides,refers to
Apollodorus,Mitylene,refers to
Apollodorus,Apsephion,refers to
Pamphila,Menander,refers to
Demetrius III,Chrysippus,refers to
Sotion,Eudoxus,refers to
Theophrastus,Heraclitus,refers to
Satyrus,Bias,refers to
Hermippus,Heraclides,refers to
Timaeus,Moeris,refers to
Eudoxus,Chilon,refers to
Theodorus,Stilpo,refers to
Aristippus II,Crateia,refers to
Apollodorus,Socrates,refers to
Ariston,Strato,refers to
Plutarch,Alexander,refers to
Dinarchus,Xenophon,refers to
Eubulides II,Socrates,refers to
Timaeus,Aristotle,refers to
Thrasylus,Democritus,refers to
Ameipsias,Socrates,refers to
Alexander II,Socrates,refers to
Euclides,Aeschines,refers to
Phlegon,Epimenides,refers to
Hippobotus,Cleobulus,refers to
Demetrius III,Heraclides,refers to
Arcesilaus,Attalus,refers to
Ephorus,Gryllus II,refers to
Ariston IV,Diodorus,refers to
Sosicrates,Pythagoras,refers to
Aristophanes,Hellas,refers to
Hippobotus,Diodorus,refers to
Antisthenes II,Sophocles,refers to
Aristoxenus,Lasos,refers to
Apollodorus VI,Philolaus,refers to
Hermippus,Cleobulus,refers to
Phylopidas,Skillous,refers to
Demetrius III,Alcmaeon II,refers to
Arcesilaus,Alexinus,refers to
Hermippus,Menedemus,refers to
Timaeus,Epimenides,refers to
Alexander II,Damon,refers to
Antishenes,Dionysius V,refers to
Euclides,Alcibiades,refers to
Theopompus,Pherecydes,refers to
Antishenes,Theodorus,refers to
Anaximenes,Hellas,refers to
Sosicrates,Periander,refers to
Lobon,Thales,refers to
Aristippus,Clinias,refers to
Empedocles,Aidoneus,refers to
Callimachus,Hyrrhadius,refers to
Aristotle,Proxenus,refers to
Cratinus,Cleobuline II,refers to
Hippobotus,Solon,refers to
Sotion,Ariston,refers to
Eudoxus,Myson,refers to
Alexander,Xenocrates,refers to
Aristotle,Pythagoras,refers to
Sotion,Heraclitus,refers to
Antishenes,Meletus,refers to
Theopompus,Epimenides,refers to
Callimachus,Pythagoras,refers to
Socrates,Callias,refers to
Herodotus,Thales,refers to
Apollodorus VI,Democritus,refers to
Hieronymus,Xanthippe,refers to
Hieronymus,Pythagoras,refers to
Crates II,Phlius,refers to
Heraclitus,Pythagoras,refers to
Apollodorus V,Chrysippus,refers to
Anaximenes,Thales,refers to
Lysias,Solon,refers to
Arcesilaus,Philoxenus,refers to
Hecato,Chrysippus,refers to
Demetrius,Crito,refers to
Plato,Agathon,refers to
Euanthes,Thales,refers to
Plato,Anaxagoras,refers to
Xenophon,Glaucon,refers to
Socrates,Midias,refers to
Aristotle,Thales,refers to
Timon,Xenophon,refers to
Callimachus,Bathycles,refers to
Nausiphanes,Pyrrho,refers to
Myronianus,Epimenides,refers to
Neanthes,Heraclitus,refers to
Apollodorus,Melissus,refers to
Herodotus,Hegesistratus,refers to
Polemo,Hesiod,refers to
Theodorus,Aristippus,refers to
Daimachus,Pittacus,refers to
Herodotus,Thrasybulus,refers to
Timon,Protagoras,refers to
Plato,Protagoras,refers to
Aristotle,Lamprocles,refers to
Clearchus,Croesus,refers to
Favorinus,Aeschines,refers to
Euphantus,Menedemus,refers to
Aristotle,Socrates,refers to
Zeno II,Caphisius,refers to
Aristophanes,Euripides,refers to
Demetrius III,Corinth,refers to
Aristotle,Xanthippe,refers to
Lysias,Aeschines,refers to
Hecato,Zeno II,refers to
Herodotus,Hippocrates II,refers to
Sotion,Anaxagoras,refers to
Antigonus,Democritus III,refers to
Heraclitus,Teutames,refers to
Maeandrius,Leophantus,refers to
Aristippus,Paris,refers to
Hippobotus,Democritus,refers to
Hermippus,Zeno,refers to
Posidonius,Pyrrho,refers to
Sotion,Lacydes,refers to
Myronianus,Theophrastus,refers to
Favorinus,Antigonus III,refers to
Hermippus,Myson,refers to
Athenodorus,Melantes,refers to
Aristippus VI,Aristotle,refers to
Heraclides,Periander,refers to
Theophrastus,Empedocles,refers to
Anaximenes,Samos,refers to
Alcaeus,Aristodemus,refers to
Timon,Heraclitus,refers to
Ascanius,Pyrrho,refers to
Simonides,Cleobulus,refers to
Plato,Parmenides,refers to
Pythagoras,Hermes,refers to
Plato,Anytus,refers to
Timon,Diodorus,refers to
Heraclides II,Ptolemy,refers to
Hieronymus,Thales,refers to
Antagoras,Polemo,refers to
Apollodorus,Anaxagoras,refers to
Hermippus,Leophantus,refers to
Favorinus,Eurymenes,refers to
Dicaearchus,Pittacus,refers to
Aristotle,Myrto,refers to
Pausanias,Heraclitus,refers to
Aristoxenus,Myson,refers to
